time,open,high,low,close,volume
2022-11-04 20:00:00,138.22,138.22,138.07,138.12,64681
2022-11-04 19:00:00,138.19,138.24,138.13,138.23,38808
2022-11-04 18:00:00,138.2,138.3,138.07,138.2138,116813
2022-11-04 17:00:00,138.39,138.62,138.12,138.24,3410067
2022-11-04 16:00:00,136.77,138.5,136.62,138.39,20985511
2022-11-04 15:00:00,134.87,136.88,134.38,136.76,13541456
2022-11-04 14:00:00,134.81,135.65,134.45,134.88,9877509
2022-11-04 13:00:00,135.04,136.5599,134.49,134.8004,16851621
2022-11-04 12:00:00,138.2,138.3,134.9,135.03,21600979
2022-11-04 11:00:00,138.92,140.18,137.77,138.19,21712685
2022-11-04 10:00:00,141.72,142.67,136.56,138.9159,22090173
2022-11-04 09:00:00,139.77,141.74,138.53,141.67,1796646
2022-11-04 08:00:00,139.84,140.43,139.7,140.27,272402
2022-11-04 07:00:00,139.52,139.95,139.4,139.87,98187
2022-11-04 06:00:00,138.98,139.8,138.98,139.47,105742
2022-11-04 05:00:00,138.01,139.0,138.01,139.0,91473
2022-11-03 20:00:00,137.671178126,137.701128346,137.461526585,137.501460212,143443
2022-11-03 19:00:00,137.671178126,137.731078566,137.172007792,137.691144939,377514
2022-11-03 18:00:00,138.889153741,138.969020994,137.571344059,137.681161532,410516
2022-11-03 17:00:00,138.64955198,138.998971214,138.280365601,138.889153741,2277462
2022-11-03 16:00:00,140.007295289,140.097145949,138.519767694,138.64955198,15881963
2022-11-03 15:00:00,139.308456821,140.117112762,138.854211817,140.007295289,9369161
2022-11-03 14:00:00,140.406631556,140.556382656,139.288490008,139.298473415,7835714
2022-11-03 13:00:00,139.244862521,140.536415843,139.038904841,140.409227242,8462238
2022-11-03 12:00:00,140.810959527,140.899811846,139.028921434,139.258539788,10772214
2022-11-03 11:00:00,139.458207922,141.093489936,139.418274295,140.820942933,18088238
2022-11-03 10:00:00,141.684507611,142.563047399,139.128855335,139.443132977,16878090
2022-11-03 09:00:00,143.541421254,143.562885578,141.494822884,141.684507611,733100
2022-11-03 08:00:00,143.40165356,143.501487627,142.353395859,142.513130366,207402
2022-11-03 07:00:00,143.751072794,143.960724334,143.032267513,143.291836087,64918
2022-11-03 06:00:00,143.810973234,143.910807301,143.461554,143.751072794,40924
2022-11-03 05:00:00,144.679529615,144.679529615,143.581354881,143.761056201,71162
2022-11-02 20:00:00,144.010641368,144.050574995,143.850906861,143.860890268,82851
2022-11-02 19:00:00,144.300160162,144.330110382,143.860890268,144.010641368,144844
2022-11-02 18:00:00,144.270209942,144.669546209,144.260226535,144.310143568,213622
2022-11-02 17:00:00,144.789347089,144.979031816,143.910807301,144.260226535,3624395
2022-11-02 16:00:00,147.513718938,148.585437645,144.759396869,144.769380276,22254898
2022-11-02 15:00:00,148.792693168,151.917499459,147.105497439,147.539775629,23271745
2022-11-02 14:00:00,148.957419378,149.411664382,148.453257341,148.782709761,5550439
2022-11-02 13:00:00,148.677883991,149.012328115,147.9441036,148.962411081,6058499
2022-11-02 12:00:00,149.052261742,149.201913008,148.083871294,148.667501248,7064290
2022-11-02 11:00:00,148.433290527,149.391697569,148.423307121,149.052261742,7835966
2022-11-02 10:00:00,148.612991848,150.35010461,148.193688767,148.433290527,9149393
2022-11-02 09:00:00,149.651266142,149.751100209,148.203672174,148.612991848,500256
2022-11-02 08:00:00,149.701183176,149.751100209,148.972394488,149.132128995,163320
