time,open,high,low,close,volume
2022-11-04 20:00:00,208.19,209.05,208.16,209.05,121494
2022-11-04 19:00:00,208.3,208.39,208.1,208.19,64182
2022-11-04 18:00:00,207.59,208.38,207.3697,208.25,147406
2022-11-04 17:00:00,207.47,207.89,206.8,207.59,1108248
2022-11-04 16:00:00,206.4,208.7,206.04,207.53,15228969
2022-11-04 15:00:00,203.4421,207.43,203.08,206.3825,12511162
2022-11-04 14:00:00,204.45,205.63,203.3,203.4625,12711594
2022-11-04 13:00:00,211.33,212.38,204.4,204.4747,18897213
2022-11-04 12:00:00,221.6631,222.39,210.9,211.375,14024561
2022-11-04 11:00:00,219.9596,223.3599,218.75,221.6233,10774693
2022-11-04 10:00:00,221.29,223.8,216.75,219.92,9638408
2022-11-04 09:00:00,219.17,221.3174,215.4,221.09,920093
2022-11-04 08:00:00,219.65,219.92,218.62,219.3,157192
2022-11-04 07:00:00,219.6,220.08,218.68,219.5,46690
2022-11-04 06:00:00,218.81,219.8,218.68,219.5,58799
2022-11-04 05:00:00,220.79,220.79,216.0,218.68,117254
2022-11-03 20:00:00,214.51,214.62,214.11,214.48,89705
2022-11-03 19:00:00,214.85,214.99,214.51,214.51,35393
2022-11-03 18:00:00,214.8566,215.0,214.65,214.7145,64276
2022-11-03 17:00:00,215.31,215.65,214.5,214.88,548468
2022-11-03 16:00:00,216.42,217.67,215.3,215.36,6081645
2022-11-03 15:00:00,215.0,216.95,214.77,216.435,4134377
2022-11-03 14:00:00,216.6,216.92,214.51,214.9985,4779673
2022-11-03 13:00:00,215.1099,216.96,214.5,216.6,6908956
2022-11-03 12:00:00,220.12,221.2,215.0,215.11,8181470
2022-11-03 11:00:00,215.28,220.75,211.05,220.15,12594249
2022-11-03 10:00:00,211.28,217.2648,210.14,215.23,10479876
2022-11-03 09:00:00,215.1015,217.4,210.7,211.3,611747
2022-11-03 08:00:00,214.76,215.06,212.11,212.75,271481
2022-11-03 07:00:00,216.28,216.5,214.51,214.76,86960
2022-11-03 06:00:00,216.69,217.2,215.8,216.0,37057
2022-11-03 05:00:00,216.74,217.86,215.7,216.33,140396
2022-11-02 20:00:00,215.49,215.87,215.0,215.87,133887
2022-11-02 19:00:00,215.65,215.89,215.1,215.44,82273
2022-11-02 18:00:00,216.0,216.386,215.65,215.65,131728
2022-11-02 17:00:00,214.98,216.5,213.44,216.0,1088195
2022-11-02 16:00:00,219.0,221.16,214.82,214.86,14017718
2022-11-02 15:00:00,221.89,227.0336,218.47,219.0,17807883
2022-11-02 14:00:00,222.36,222.47,221.45,221.8899,3300894
2022-11-02 13:00:00,223.43,224.05,221.29,222.34,4960272
2022-11-02 12:00:00,224.32,224.645,223.14,223.43,5035114
2022-11-02 11:00:00,226.81,227.72,224.1201,224.32,7136394
